SV1a,SV1b,SV1c,upls,tripwire,decision,confidence,tripwire_triggered
0.28,0.5,0.75,0.475,4.75,COUNTER,Low,False
0.28,0.58,0.75,0.502,5.02,HOLD,Moderate,False
0.28,0.64,0.75,0.523,5.23,HOLD,Moderate,False
0.28,0.7,0.75,0.544,5.44,HOLD,Moderate,False
0.28,0.76,0.75,0.566,5.66,HOLD,Moderate,False
0.28,0.82,0.75,0.587,5.87,HOLD,Moderate,False
0.28,0.86,0.75,0.601,6.01,HOLD,Moderate,False
0.28,0.9,0.75,0.615,6.15,HOLD,Moderate,False
0.28,0.96,0.75,0.635,6.35,HOLD,Moderate,False
0.32,0.5,0.75,0.49,4.9,COUNTER,Low,False
0.32,0.58,0.75,0.518,5.18,HOLD,Moderate,False
0.32,0.64,0.75,0.539,5.39,HOLD,Moderate,False
0.32,0.7,0.75,0.56,5.6,HOLD,Moderate,False
0.32,0.76,0.75,0.581,5.81,HOLD,Moderate,False
0.32,0.82,0.75,0.603,6.03,HOLD,Moderate,False
0.32,0.86,0.75,0.617,6.17,HOLD,Moderate,False
0.32,0.9,0.75,0.631,6.31,HOLD,Moderate,False
0.32,0.96,0.75,0.651,6.51,HOLD,Moderate,False
0.35,0.5,0.75,0.502,5.02,HOLD,Moderate,False
0.35,0.58,0.75,0.53,5.3,HOLD,Moderate,False
0.35,0.64,0.75,0.551,5.51,HOLD,Moderate,False
0.35,0.7,0.75,0.573,5.73,HOLD,Moderate,False
0.35,0.76,0.75,0.593,5.93,HOLD,Moderate,False
0.35,0.82,0.75,0.614,6.14,HOLD,Moderate,False
0.35,0.86,0.75,0.628,6.28,HOLD,Moderate,False
0.35,0.9,0.75,0.642,6.42,HOLD,Moderate,False
0.35,0.96,0.75,0.663,6.63,HOLD,Moderate,False
0.38,0.5,0.75,0.514,5.14,HOLD,Moderate,False
0.38,0.58,0.75,0.542,5.42,HOLD,Moderate,False
0.38,0.64,0.75,0.564,5.64,HOLD,Moderate,False
0.38,0.7,0.75,0.585,5.85,HOLD,Moderate,False
0.38,0.76,0.75,0.605,6.05,HOLD,Moderate,False
0.38,0.82,0.75,0.627,6.27,HOLD,Moderate,False
0.38,0.86,0.75,0.641,6.41,HOLD,Moderate,False
0.38,0.9,0.75,0.655,6.55,HOLD,Moderate,False
0.38,0.96,0.75,0.675,6.75,HOLD,Moderate,False
0.42,0.5,0.75,0.53,5.3,HOLD,Moderate,False
0.42,0.58,0.75,0.558,5.58,HOLD,Moderate,False
0.42,0.64,0.75,0.58,5.8,HOLD,Moderate,False
0.42,0.7,0.75,0.601,6.01,HOLD,Moderate,False
0.42,0.76,0.75,0.621,6.21,HOLD,Moderate,False
0.42,0.82,0.75,0.642,6.42,HOLD,Moderate,False
0.42,0.86,0.75,0.656,6.56,HOLD,Moderate,False
0.42,0.9,0.75,0.67,6.7,HOLD,Moderate,False
0.42,0.96,0.75,0.692,6.92,HOLD,Moderate,False
0.46,0.5,0.75,0.546,5.46,HOLD,Moderate,False
0.46,0.58,0.75,0.575,5.75,HOLD,Moderate,False
0.46,0.64,0.75,0.596,5.96,HOLD,Moderate,False
0.46,0.7,0.75,0.617,6.17,HOLD,Moderate,False
0.46,0.76,0.75,0.637,6.37,HOLD,Moderate,False
0.46,0.82,0.75,0.658,6.58,HOLD,Moderate,False
0.46,0.86,0.75,0.672,6.72,HOLD,Moderate,False
0.46,0.9,0.75,0.686,6.86,HOLD,Moderate,False
0.46,0.96,0.75,0.708,7.08,HOLD,Good,False
0.5,0.5,0.75,0.562,5.62,HOLD,Moderate,False
0.5,0.58,0.75,0.591,5.91,HOLD,Moderate,False
0.5,0.64,0.75,0.611,6.11,HOLD,Moderate,False
0.5,0.7,0.75,0.632,6.32,HOLD,Moderate,False
0.5,0.76,0.75,0.653,6.53,HOLD,Moderate,False
0.5,0.82,0.75,0.674,6.74,HOLD,Moderate,False
0.5,0.86,0.75,0.689,6.89,HOLD,Moderate,False
0.5,0.9,0.75,0.703,7.03,HOLD,Good,False
0.5,0.96,0.75,0.724,7.24,HOLD,Good,False
0.56,0.5,0.75,0.587,5.87,HOLD,Moderate,False
0.56,0.58,0.75,0.615,6.15,HOLD,Moderate,False
0.56,0.64,0.75,0.635,6.35,HOLD,Moderate,False
0.56,0.7,0.75,0.656,6.56,HOLD,Moderate,False
0.56,0.76,0.75,0.677,6.77,HOLD,Moderate,False
0.56,0.82,0.75,0.699,6.99,HOLD,Moderate,False
0.56,0.86,0.75,0.713,7.13,HOLD,Good,False
0.56,0.9,0.75,0.727,7.27,HOLD,Good,False
0.56,0.96,0.75,0.748,7.48,HOLD,Good,False
0.65,0.5,0.75,0.623,6.23,HOLD,Moderate,False
0.65,0.58,0.75,0.65,6.5,HOLD,Moderate,False
0.65,0.64,0.75,0.671,6.71,HOLD,Moderate,False
0.65,0.7,0.75,0.693,6.93,HOLD,Moderate,False
0.65,0.76,0.75,0.714,7.14,HOLD,Good,False
0.65,0.82,0.75,0.734,7.34,HOLD,Good,False
0.65,0.86,0.75,0.748,7.48,HOLD,Good,False
0.65,0.9,0.75,0.762,7.62,HOLD,Good,True
0.65,0.96,0.75,0.783,7.83,HOLD,Good,True
0.15,0.5,0.85,0.448,4.48,COUNTER,Low,False
0.15,0.58,0.85,0.476,4.76,COUNTER,Low,False
0.15,0.64,0.85,0.496,4.96,COUNTER,Low,False
0.15,0.7,0.85,0.517,5.17,HOLD,Moderate,False
0.15,0.76,0.85,0.538,5.38,HOLD,Moderate,False
0.15,0.82,0.85,0.559,5.59,HOLD,Moderate,False
0.15,0.86,0.85,0.574,5.74,HOLD,Moderate,False
0.15,0.9,0.85,0.588,5.88,HOLD,Moderate,False
0.15,0.96,0.85,0.608,6.08,HOLD,Moderate,False
0.22,0.5,0.85,0.476,4.76,COUNTER,Low,False
0.22,0.58,0.85,0.503,5.03,HOLD,Moderate,False
0.22,0.64,0.85,0.524,5.24,HOLD,Moderate,False
0.22,0.7,0.85,0.545,5.45,HOLD,Moderate,False
0.22,0.76,0.85,0.567,5.67,HOLD,Moderate,False
0.22,0.82,0.85,0.588,5.88,HOLD,Moderate,False
0.22,0.86,0.85,0.602,6.02,HOLD,Moderate,False
0.22,0.9,0.85,0.616,6.16,HOLD,Moderate,False
0.22,0.96,0.85,0.636,6.36,HOLD,Moderate,False
0.28,0.5,0.85,0.5,5.0,HOLD,Moderate,False
0.28,0.58,0.85,0.527,5.27,HOLD,Moderate,False
0.28,0.64,0.85,0.548,5.48,HOLD,Moderate,False
0.28,0.7,0.85,0.57,5.7,HOLD,Moderate,False
0.28,0.76,0.85,0.591,5.91,HOLD,Moderate,False
0.28,0.82,0.85,0.612,6.12,HOLD,Moderate,False
0.28,0.86,0.85,0.626,6.26,HOLD,Moderate,False
0.28,0.9,0.85,0.64,6.4,HOLD,Moderate,False
0.28,0.96,0.85,0.66,6.6,HOLD,Moderate,False
0.32,0.5,0.85,0.515,5.15,HOLD,Moderate,False
0.32,0.58,0.85,0.543,5.43,HOLD,Moderate,False
0.32,0.64,0.85,0.565,5.65,HOLD,Moderate,False
0.32,0.7,0.85,0.586,5.86,HOLD,Moderate,False
0.32,0.76,0.85,0.606,6.06,HOLD,Moderate,False
0.32,0.82,0.85,0.627,6.27,HOLD,Moderate,False
0.32,0.86,0.85,0.641,6.41,HOLD,Moderate,False
0.32,0.9,0.85,0.655,6.55,HOLD,Moderate,False
0.32,0.96,0.85,0.676,6.76,HOLD,Moderate,False
0.35,0.5,0.85,0.527,5.27,HOLD,Moderate,False
0.35,0.58,0.85,0.555,5.55,HOLD,Moderate,False
0.35,0.64,0.85,0.577,5.77,HOLD,Moderate,False
0.35,0.7,0.85,0.597,5.97,HOLD,Moderate,False
0.35,0.76,0.85,0.618,6.18,HOLD,Moderate,False
0.35,0.82,0.85,0.639,6.39,HOLD,Moderate,False
0.35,0.86,0.85,0.653,6.53,HOLD,Moderate,False
0.35,0.9,0.85,0.667,6.67,HOLD,Moderate,False
0.35,0.96,0.85,0.689,6.89,HOLD,Moderate,False
0.38,0.5,0.85,0.539,5.39,HOLD,Moderate,False
0.38,0.58,0.85,0.568,5.68,HOLD,Moderate,False
0.38,0.64,0.85,0.589,5.89,HOLD,Moderate,False
0.38,0.7,0.85,0.61,6.1,HOLD,Moderate,False
0.38,0.76,0.85,0.63,6.3,HOLD,Moderate,False
0.38,0.82,0.85,0.651,6.51,HOLD,Moderate,False
0.38,0.86,0.85,0.665,6.65,HOLD,Moderate,False
0.38,0.9,0.85,0.679,6.79,HOLD,Moderate,False
0.38,0.96,0.85,0.701,7.01,HOLD,Good,False
0.42,0.5,0.85,0.555,5.55,HOLD,Moderate,False
0.42,0.58,0.85,0.584,5.84,HOLD,Moderate,False
0.42,0.64,0.85,0.605,6.05,HOLD,Moderate,False
0.42,0.7,0.85,0.625,6.25,HOLD,Moderate,False
0.42,0.76,0.85,0.646,6.46,HOLD,Moderate,False
0.42,0.82,0.85,0.667,6.67,HOLD,Moderate,False
0.42,0.86,0.85,0.681,6.81,HOLD,Moderate,False
0.42,0.9,0.85,0.696,6.96,HOLD,Moderate,False
0.42,0.96,0.85,0.717,7.17,HOLD,Good,False
0.46,0.5,0.85,0.572,5.72,HOLD,Moderate,False
0.46,0.58,0.85,0.6,6.0,HOLD,Moderate,False
0.46,0.64,0.85,0.621,6.21,HOLD,Moderate,False
0.46,0.7,0.85,0.641,6.41,HOLD,Moderate,False
0.46,0.76,0.85,0.662,6.62,HOLD,Moderate,False
0.46,0.82,0.85,0.683,6.83,HOLD,Moderate,False
0.46,0.86,0.85,0.698,6.98,HOLD,Moderate,False
0.46,0.9,0.85,0.712,7.12,HOLD,Good,False
0.46,0.96,0.85,0.733,7.33,HOLD,Good,False
0.5,0.5,0.85,0.588,5.88,HOLD,Moderate,False
0.5,0.58,0.85,0.616,6.16,HOLD,Moderate,False
0.5,0.64,0.85,0.636,6.36,HOLD,Moderate,False
0.5,0.7,0.85,0.657,6.57,HOLD,Moderate,False
0.5,0.76,0.85,0.678,6.78,HOLD,Moderate,False
0.5,0.82,0.85,0.7,7.0,HOLD,Good,False
0.5,0.86,0.85,0.714,7.14,HOLD,Good,False
0.5,0.9,0.85,0.728,7.28,HOLD,Good,False
0.5,0.96,0.85,0.749,7.49,HOLD,Good,False
0.56,0.5,0.85,0.612,6.12,HOLD,Moderate,False
0.56,0.58,0.85,0.64,6.4,HOLD,Moderate,False
0.56,0.64,0.85,0.66,6.6,HOLD,Moderate,False
0.56,0.7,0.85,0.681,6.81,HOLD,Moderate,False
0.56,0.76,0.85,0.703,7.03,HOLD,Good,False
0.56,0.82,0.85,0.724,7.24,HOLD,Good,False
0.56,0.86,0.85,0.738,7.38,HOLD,Good,False
0.56,0.9,0.85,0.752,7.52,HOLD,Good,True
0.56,0.96,0.85,0.773,7.73,HOLD,Good,True
0.65,0.5,0.85,0.647,6.47,HOLD,Moderate,False
0.65,0.58,0.85,0.675,6.75,HOLD,Moderate,False
0.65,0.64,0.85,0.697,6.97,HOLD,Moderate,False
0.65,0.7,0.85,0.718,7.18,HOLD,Good,False
0.65,0.76,0.85,0.739,7.39,HOLD,Good,False
0.65,0.82,0.85,0.759,7.59,HOLD,Good,True
0.65,0.86,0.85,0.773,7.73,HOLD,Good,True
0.65,0.9,0.85,0.787,7.87,HOLD,Good,True
0.65,0.96,0.85,0.808,8.08,HOLD,Good,True
0.15,0.5,0.95,0.472,4.72,COUNTER,Low,False
0.15,0.58,0.95,0.5,5.0,HOLD,Moderate,False
0.15,0.64,0.95,0.521,5.21,HOLD,Moderate,False
0.15,0.7,0.95,0.542,5.42,HOLD,Moderate,False
0.15,0.76,0.95,0.563,5.63,HOLD,Moderate,False
0.15,0.82,0.95,0.585,5.85,HOLD,Moderate,False
0.15,0.86,0.95,0.599,5.99,HOLD,Moderate,False
0.15,0.9,0.95,0.613,6.13,HOLD,Moderate,False
0.15,0.96,0.95,0.633,6.33,HOLD,Moderate,False
0.22,0.5,0.95,0.5,5.0,HOLD,Moderate,False
0.22,0.58,0.95,0.528,5.28,HOLD,Moderate,False
0.22,0.64,0.95,0.549,5.49,HOLD,Moderate,False
0.22,0.7,0.95,0.571,5.71,HOLD,Moderate,False
0.22,0.76,0.95,0.591,5.91,HOLD,Moderate,False
0.22,0.82,0.95,0.613,6.13,HOLD,Moderate,False
0.22,0.86,0.95,0.627,6.27,HOLD,Moderate,False
0.22,0.9,0.95,0.641,6.41,HOLD,Moderate,False
